"Provider Name"," Number of Certified Beds"
"BEDFORD HILLS CENTER",147
"BROWNSBURG MEADOWS",147
"DEERFIELD CROSSING NORTHBROOK",147
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",147
"HALLMARK MANOR",147
"HENNIS CARE CENTRE OF DOVER",147
"INTERCOMMUNITY CARE CENTER",147
KIRKHAVEN,147
"MERIDIAN NURSING AND REHABILITATION AT OCEAN GROVE",147
"MONROE REHABILITATION CENTER",147
"MONTGOMERY VILLAGE HEALTH CARE CENTER",147
"ORCHARD PARK HEALTH CARE & REHAB CENTER",147
"PONCE HEALTH AND REHABILITATION CENTER",147
"QUABOAG REHABILITATION & SKILLED CARE FACILITY",147
"QUARTERS AT DES PERES, THE",147
"WILTON MANORS HEALTH & REHABILITATION CENTER",147
"WINDSOR PLACE LLC",147
"YADKIN NURSING CARE CENTER",147
"ARBOR VALLEY OF CASCADIA",148
"AVAMERE REHABILITATION OF KING CITY",148
"CAMELOT OF BROUSSARD",148
"CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER",148
"CASCADES AT JACINTO REHAB LP",148
"CORNERSTONE AT THE RANCH",148
"CROWNE HEALTH CARE OF MOBILE",148
"ESKATON CARE CENTER GREENHAVEN",148
"FUTURE CARE SANDTOWN-WINCHESTER",148
"GARDENS OF MCGREGOR AND AMASA STONE",148
"GOLDEN EMPIRE",148
"LEGACY WEST REHABILITATION AND HEALTHCARE",148
"LIFE CARE CENTER OF CHARLESTON",148
"LIFE CARE CENTER OF RED BANK",148
"LUTHERAN RETIREMENT HOME",148
"MAGNOLIA RIDGE",148
"MATLOCK PLACE HEALTH & REHABILITATION CENTER",148
"MATTOON REHAB & HCC",148
"NANS POINTE REHABILITATION AND NURSING",148
"NEW CARLTON REHAB AND NURSING CENTER, L L C",148
"NHC HEALTHCARE - GARDEN CITY",148
"NORTHWEST HEALTH AND REHABILITATION CENTER",148
"OAKS - ATHENS SKILLED NURSING, THE",148
"OAKS - SCENIC VIEW SKILLED NURSING, THE",148
"OAKWOOD HEALTHCARE & REHABILITATION CENTER",148
"PACIFIC COAST POST ACUTE",148
"PARADIGM AT WESTBURY",148
"PARK MEADOWS HEALTH AND REHABILITATION CENTER",148
"PRAIRIE MANOR NRSG & REHAB CTR",148
"PRINCE GEORGE HEALTHCARE CENTER",148
"PROMEDICA SKILLED NURSING & REHAB (SILVER SPRING)",148
"RAMONA NURSING & REHABILITATION CENTER",148
"RENAISSANCE CENTER FOR NURSING AND HEALING",148
"RIDGEVIEW HEALTH SERVICES, INC",148
"SIGNATURE HEALTHCARE AT NORTH HARDIN REHAB & WELLN",148
"SILVER RIDGE HEALTHCARE CENTER",148
"SOMERSET WOODS REHABILITATION & NURSING CENTER",148
"SPINDLETOP HILL NURSING & REHAB CENTER",148
"SPRINGDALE HEALTHCARE CENTER",148
"STEPHENSON NURSING CENTER",148
"STERLING CARE AT SOUTH MOUNTAIN",148
"SUGAR CREEK STATION SKILLED NURSING AND REHABILITA",148
"UNIVERSITY HEALTH AND REHABILITATION CENTER",148
"VASONA CREEK HEALTHCARE CENTER",148
"WESLEY HOMES HEALTH CENTER",148
"WESTMINSTER VILLAGE NORTH",148
"WILTON MEADOWS HEALTH CARE CEN",148
"WOOD GLEN ALZHEIMER'S COMMUNITY",148
"ARBOR REHABILITATION & NURSING CENTER",149
"ATHENS HEALTH AND REHABILITATION LLC",149
"BLOOMSBURG CARE CENTER AND REHABILITATION CENTER",149
"BOULDER CREEK POST ACUTE",149
"CALVERT COUNTY NURSING CTR.",149
"CARADAY MESQUITE",149
"CREVE COEUR MANOR",149
"DELMAR GARDENS SOUTH",149
"DUBLINAIR HEALTH & REHAB",149
"ESKATON CARE CENTER FAIR OAKS",149
"FOOTHILLS REHABILITATION CENTER",149
"GARDENS OF EUCLID BEACH",149
"GROVE OF SKOKIE, THE",149
"HEALTH CENTER AT GLENBURN HOME",149
"HEIGHTS REHABILITATION AND HEALTHCARE CENTER, THE",149
"LIGHTHOUSE  HEALTHCARE CENTER",149
"MULBERRY HEALTH & REHABILITATION CENTER",149
"OZARK HEALTH AND REHABILITATION, LLC",149
"PROMEDICA SKILLED NURSING MO",149
"RAYVILLE NURSING & REHABILITATION  CENTER INC",149
"ROCKY KNOLL HEALTH CARE",149
"ROSEMONT AT STONE MOUNTAIN",149
"ROYAL HEALTH GATE NRSG REHAB",149
"SANTA CRUZ POST ACUTE",149
"SCOTTISH PINES REHABILITATION AND NURSING CENTER",149
"SHORE MEADOWS REHAB & NURSING CENTER",149
"SYLACAUGA HEALTH AND REHAB SERVICES",149
"UNIVERSITY EXTENDED CARE/WESTW",149
"UNIVERSITY MANOR HEALTH & REHA",149
"WAKEFIELD CENTER",149
"WESTMONT MANOR HLTH & RHB",149
"WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN",149
"A.G. RHODES HOME WESLEY WOODS",150
"ALDEN ESTATES OF BARRINGTON",150
"AMERICAN VILLAGE",150
"APPLEWOOD NURSING CENTER INC",150
"ARBOR HILLS NURSING AND REHABILITATION CENTER",150
"ARBOR LAKE SKILLED NURSING & REHABILITATION",150
"ARBORS AT MARIETTA",150
"ARBORS AT STOW",150
"ASSUMPTION VILLAGE THE",150
"AUTUMN LAKE HEALTHCARE AT NORWALK",150
"AUTUMN MEADOWS OF CAHOKIA",150
"BATH MANOR SPECIAL CARE CENTRE",150
"BEACON HILL",150
"BELLA TERRA OF BILLINGS",150
"BELLE TECHE NURSING & REHABILITATION CENTER",150
"BELVEDERE CENTER, GENESIS HEALTHCARE, THE",150
"BETHEL LUTHERAN NURSING & REHABILITATION CENTER",150
"BEVERLY HILLS REHABILITATION CENTRE",150
"BIG RIVER NURSING & REHAB",150
"BIRCHWOOD PARK REHABILITATION",150
"BISHOP DRUMM RETIREMENT CENTER",150
"BLUE RIDGE HEALTH AND REHABILITATION CENTER",150
"BRIAN CENTER HEALTH & REHAB HICKORY",150
"BRIGHTPOINTE AT RIVERSHIRE",150
"BRYAN HEALTHCARE AND REHABILITATION",150
"BUENA VISTA CARE CENTER",150
"CARADAY OF HOUSTON",150
"CARE ONE AT PEABODY",150
"CARRIAGE HILL HEALTH AND REHAB CENTER",150
"CASCADES AT GALVESTON",150
"CASCADES AT PORT ARTHUR",150
"CASEYVILLE NURSING & REHAB CTR",150
"CASSENA CARE AT NORWALK",150
"CENTER FOR LIVING & REHABILITATION",150
"CHATEAU NRSG & REHAB CENTER",150
"CHESHIRE COUNTY HOME",150
"CHESTNUT RIDGE NSG & REHAB CTR",150
"CITYVIEW HEALTHCARE AND REHABILITATION",150
"COMPLETE CARE AT MARCELLA, LLC",150
"COVENTRY MEADOWS",150
"CRANBERRY PLACE",150
"CRESTWOOD HEALTH CARE CENTER, LLC",150
"CRYSTAL RIVER HEALTH AND REHABILITATION CENTER",150
"DIMONDALE NURSING CARE CENTER",150
"DIVERSICARE OF MARTIN",150
"EL PASO HEALTH & REHABILITATION CENTER",150
"ELDERWOOD AT BURLINGTON",150
"ELKINS CREST HEALTH & REHABILITATION CENTER",150
"ESTATES OF SPANISH LAKE, THE",150
"FESTUS MANOR",150
"FIRST COLONY HEALTH AND REHABILITATION CENTER",150
"FLORENCE HAND HOME",150
"FLORENCE PARK CARE CENTER",150
"FOX HILL CENTER",150
"FRIENDSHIP HAVEN HEALTHCARE AND REHABILITATION CEN",150
"FT WASHINGTON HEALTH CENTER",150
"FUTURE CARE CAPITAL REGION",150
"GARDEN CARE CENTER",150
"GARDEN VILLA NURSING HOME AND REHABILITATION",150
"GARDENS OF MAYFIELD VILLAGE",150
"GOLDEN AGE NURSING HOME",150
"GREEN HILLS CENTER FOR REHABILITATION AND HEALING",150
"GREENBRIER NURSING HOME",150
"GREENHILL VILLAS",150
"GUADALUPE VALLEY NURSING CENTER",150
"GUARDIAN ELDER CARE AT WHEELING",150
"HABANA HEALTH CARE CENTER",150
"HAZEL I FINDLAY COUNTRY MANOR",150
"HERITAGE GARDENS REHABILITATION AND HEALTHCARE",150
"HERITAGE NURSING & REHABILITATION",150
"HILLTOP VILLAGE NURSING AND REHABILITATION CENTER",150
"HOMETOWN NURSING AND REHAB CEN",150
"IDEAL SENIOR LIVING CENTER",150
"JEWISH HOME FOR REHABILITATION AND NURSING, THE",150
"KENDALL LAKES HEALTH AND REHABILITATION CENTER",150
"KENSINGTON CARE AND REHAB CENTER",150
"KENSINGTON GARDENS REHAB AND NURSING CENTER",150
"KIMBERLY HALL NORTH",150
"LANDMARK NURSING CENTER HAMMOND",150
"LANDMARK OF LAKE CHARLES",150
"LAWRENCE HALL HEALTH & REHABILITATION",150
"LAWRENCE STREET HEALTH CARE CENTER",150
"LEGACY NURSING AND REHABILITATION OF WINNSBORO",150
"LEGACY REHABILITATION AND LIVING",150
"LESLIE LAKES RETIREMENT CENTER",150
"LIFE CARE CENTER OF PLYMOUTH",150
"LIFE CARE CENTER OF SKAGIT VALLEY",150
"LIFE CARE CENTER OF WEST BRIDGEWATER",150
"LOFT REHAB OF DECATUR",150
"LUTHERAN LIVING SENIOR CAMPUS",150
"LUTHERAN REHABILITATION AND SKILLED CARE CENTER",150
"MAJESTIC CARE OF WHITEHALL",150
"MAJESTIC OAKS",150
"MANITOWOC HEALTHCARE CENTER",150
"MAPLEWOOD CENTER",150
"MCLEAN COUNTY NURSING HOME",150
"MEADOW VIEW NURSING CENTER",150
"MIDDLESEX HEALTH CARE CENTER",150
"MILLER'S MERRY MANOR",150
"MONARCH PAVILION REHABILITATION SUITES",150
"MOUNT OLIVE CENTER",150
"NC STATE VETERANS HOME - FAYETTEVILLE",150
"NEWPORT HEALTH AND REHABILITATION CENTER",150
"NORMANDY MANOR OF ROCKY RIVER",150
"NORTHPOINT/LEXINGTON HEALTHCARE CENTER",150
"O'NEILL HEALTHCARE NORTH RIDGEVILLE",150
"PALM GARDEN OF GAINESVILLE",150
"PARK VILLAGE HEALTHCARE AND REHABILITATION",150
"PARKVIEW NURSING",150
"PARKVILLE CARE CENTER",150
"PEARSALL NURSING AND REHABILITATION CENTER",150
"PEBBLE CREEK HEALTHCARE CENTER",150
"PORT LAVACA NURSING AND REHABILITATION CENTER",150
"POTOMAC FALLS HEALTH & REHAB CENTER",150
"PROMEDICA SKILLED NRSG AND REHAB (CARLISLE)",150
"PROMEDICA SKILLED NRSG AND REHAB (POTTSTOWN)",150
"PROMEDICA SKILLED NRSG AND REHAB (SHADYSIDE)",150
"PROMEDICA SKILLED NSG & REHAB CANTON",150
"PROMEDICA SKILLED NURSING AND REHABILITATION",150
"PROMEDICA SKILLED NURSING LIB",150
"PROMEDICA TOTAL REHAB + (PHILADELPHIA)",150
"PRUITTHEALTH- RIDGEWAY",150
PRUITTHEALTH-RALEIGH,150
"RANCHWOOD NURSING CENTER",150
"REGALCARE AT NEW HAVEN",150
"REGENCY AT WATERFORD",150
"REMARKABLE HEALTHCARE OF DALLAS, LP",150
"RIDGECREST NURSING AND REHABILITATION CENTER",150
"RIDGEWOOD CENTER, GENESIS HEALTHCARE",150
"RIO VISTA POST ACUTE AND REHABILITATION",150
"RIVER HILLS HEALTH AND REHABILITATION CENTER",150
"RIVER VALLEY REHABILITATION CENTER",150
"ROSEGATE VILLAGE",150
"ROSEWOOD NURSING CENTER",150
"SAN PEDRO MANOR",150
"SCHAFFER EXTENDED CARE CENTER",150
"SENATH SOUTH HEALTH CARE CENTER",150
"SENIOR VILLAGE NURSING & REHABILITATION CENTER",150
"SHORESIDE HEALTH AND REHABILITATION CENTER",150
"SIGNATURE HEALTHCARE OF MONTEAGLE REHAB & WELLNESS",150
"SIGNATURE HEALTHCARE OF ROGERSVILLE",150
"SILER CITY CENTER",150
"SLOVENE HOME FOR THE AGED",150
"SOUTHLAND REHABILITATION AND HEALTHCARE CENTER",150
"ST LEONARD HCC",150
"ST PAUL HEALTH CENTER",150
"STILLHOUSE REHABILITATION AND HEALTHCARE CENTER",150
"SUBURBAN HEALTHCARE AND REHABILITATION",150
"SUGAR LAND HEALTH CARE CENTER",150
"SUMMIT AT PLANTSVILLE, THE",150
"SYMPHONY OF HANOVER PARK",150
"TACOMA NURSING AND REHABILITATION CENTER",150
"THE ESTATES AT ROSEVILLE LLC",150
"THE LAURELS OF HEATH",150
"THE ORCHARDS POST-ACUTE",150
"THE SHANNON GRAY REHABILITATION & RECOVERY CENTER",150
"THE SPRINGS BATESVILLE",150
"THOMSON HEALTH AND REHABILITATION",150
"TOUCHPOINTS AT BLOOMFIELD",150
"TRAYMORE NURSING CENTER",150
"UNION COUNTY NURSING HOME",150
"VIENNA NURSING AND REHABILITATION CENTER",150
"WATER'S EDGE CENTER FOR HEALTH & REHAB",150
"WATERBURY GARDENS NURSING AND REHAB",150
"WEST HILLS HEALTH AND REHABILITATION CENTER",150
"WESTMORELAND PLACE",150
"WHITNEY REHABILITATION CARE CENTER",150
"WILLOW RIDGE OF NC",150
"WINDSOR GARDENS",150
"WINDSOR MISSION OAKS",150
"WOONSOCKET HEALTH CENTRE",150
"ACCORDIUS HEALTH AT CREEKSIDE CARE",151
"AMELIA MANOR NURSING HOME",151
"BAYSIDE HEALTHCARE CENTER",151
"BRIDGE POINT CENTER",151
"BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER",151
"COURTLAND, LLC",151
"CROWN BAY NURSING AND REHABILITATION CENTER",151
"DRIFTWOOD NURSING CENTER",151
"EASTERN PINES CONV CTR",151
"EVERGREEN HEALTH AND REHABILITATION CENTER",151
"GRAND PARK CONVALESCENT HOSPITAL",151
"HILLCREST HEALTH & REHAB",151
"LAKE SHORE VILLAGE HEALTHCARE CENTER",151
"LEGACY NURSING AND REHABILITATION OF PLAQUEMINE",151
"LUVERNE HEALTH AND REHABILITATION, LLC",151
"MANORCARE HEALTH SERVICES (FOUNTAIN VALLEY)",151
"MAPLE WOODS MANOR",151
"NHC HEALTHCARE, ANNISTON",151
"NSPIRE HEALTHCARE TAMARAC",151
"OAKVIEW HEALTH AND REHABILITATION",151
"OREGON VETERANS HOME",151
"PANORAMA GARDENS NURSING AND REHABILITATION CENTER",151
"PINNACLE REHABILITATION & HEALTH CENTER",151
"PLAZA WEST HEALTHCARE AND REHAB",151
"PROMEDICA SKILLED NRSG AND REHAB (KINGSTON COURT)",151
"PROMEDICA SKILLED NRSG AND REHAB (YORK SOUTH)",151
"PROMEDICA SKILLED NURSING & REHAB - MOUNTAINSIDE",151
"PROMEDICA SKILLED NURSING AH",151
"RIVERVIEW CARE CENTER",151
"SAN GABRIEL CONV CENTER",151
"SEASHORE GARDENS LIVING CENTER",151
"SPRINGHILL SENIOR RESIDENCE",151
"ST JOSEPH'S HEALTHCARE AND REHAB CENTER",151
"THE LEGACY LIVING AND REHABILITATION CENTER",151
"THE ORCHARDS AT HARPER WOODS",151
"VALERIE MANOR",151
"VILLA LAS PALMAS HEALTHCARE CENTER",151
"WEDGWOOD GARDENS CARE CENTER",151
"WILLOW PARK HEALTH CARE CENTER",151
"ALLIS CARE CENTER",152
"BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO",152
"BEDFORD CARE CENTER OF HATTIESBURG",152
"COMPLETE CARE AT SUMMIT RIDGE",152
"DIVERSICARE OF AMORY",152
"EAST LAKE NURSING & REHABILITATION CENTER",152
"EUNICE MANOR",152
"FOCUSED CARE OF WAXAHACHIE",152
"GOLDEN CREST NURSING CENTRE",152
"HANOVER HALL FOR NURSING AND REHABILITATION",152
"LEGACY NURSING AND REHABILITATION OF FRANKLIN",152
"LIFE CARE CENTER OF SIERRA VISTA",152
"LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER",152
"MACGREGOR DOWNS HEALTH AND REHABILITATION",152
"NHC HEALTHCARE - GREENWOOD",152
"PARK MANOR HEALTH AND REHABILITATION, LLC",152
"PILGRIM REHABILITATION & SKILLED NURSING CENTER",152
"PLANTATION NURSING & REHABILITATION CENTER",152
"PORT CHARLOTTE REHABILITATION CENTER",152
"PRESBYTERIAN HOMES OF ARDEN HILLS",152
"PROVIDENCE MOTHER JOSEPH CARE",152
"PRUITTHEALTH - LILBURN",152
"REDWOOD OF RAYMORE",152
"RIVERDALE CENTER FOR NURSING AND HEALING",152
"ROBERTSDALE REHABILITATION & HEALTHCARE CTR",152
"SENA KEAN NURSING AND REHABILITATION CENTER",152
"SOLDIERS AND SAILORS MEMORIAL HOSPITAL E C U",152
"SOUTHEAST LOUISIANA WAR VETERANS HOME",152
"SOUTHGATE HEALTH CARE CTR",152
"SOUTHPOINTE REHAB CENTER",152
"SOUTHWEST LOUISIANA WAR VETERANS HOME",152
"ST BARNABAS NURSING HOME",152
"STONE OAK CARE CENTER",152
"STONERIDGE TOWNE CENTRE",152
"THE BLOSSOMS AT HOT SPRINGS REHAB AND NURSING CENT",152
"THE REDWOODS POST-ACUTE",152
"THE VILLA AT CITY CENTER",152
"WAGNER HEIGHTS NURSING & REHABILITATION CENTER",152
"WILLIAMSPORT NORTH REHABILITATION AND NURSING CENT",152
"WOODLANDS HEALTHCARE CENTER, LLC (THE)",152
"ALLEGANY HEALTH NURSING AND REHAB",153
"ARISTA HEALTHCARE",153
"ARISTACARE AT MEADOW SPRINGS",153
"BRICKYARD HEALTHCARE - BLOOMINGTON CARE CENTER",153
"CEDAR MANOR NURSING & REHABILITATION CENTER",153
"HAMDEN REHABILITATION & HEALTH CARE CENTER",153
HEALTHWIN,153
"KENT REGENCY CENTER",153
"LAURELS OF KENT (THE)",153
"LIFE CARE CENTER OF BOISE",153
"LOPATCONG CENTER",153
"MANOR OF KENOSHA (THE)",153
"MT ALVERNA HOME INC",153
"NEVINS NURSING & REHABILITATION CENTER",153
"PALM GARDEN OF VERO BEACH",153
"PATUXENT RIVER HEALTH AND REHABILITATION CENTER",153
"SOUTH COUNTY NURSING HOME INC",153
"SPRINGHILL POST ACUTE & MEMORY CARE",153
"WHITE BLOSSOM CARE CENTER",153
"WOODRIDGE NURSING HOME",153
"ADVANTAGE LIVING CENTER - NORTHWEST",154
"ADVINIACARE AT NORTHBRIDGE",154
"ANDALUSIA MANOR",154
"ASCENSION VILLA FRANCISCAN",154
"AUTUMN TERRACE HEALTH & REHABILITATION",154
"AVANTARA PARK RIDGE",154
"BROOKSIDE CARE CENTER",154
"CARE ONE AT MILLBURY",154
"CARE ONE AT NEW BEDFORD",154
"CARE ONE AT ORADELL",154
"CARE ONE AT WEYMOUTH",154
"COMPLETE CARE AT BARN HILL LLC",154
"CRANBURY CENTER",154
"DIVERSICARE OF FOLEY",154
"ELAINE CENTER AT HADLEY",154
"ENCORE AT BOCA RATON REHABILITATION AND NURSING CE",154
"FAIR HAVENS SENIOR LIVING",154
"FUTURE CARE CHESAPEAKE",154
"GENERATIONS AT APPLEWOOD",154
"GLEN COVE CENTER FOR NURSING AND REHABILITATION",154
"GROVE AT GREENVILLE, THE",154
"HELLENIC NURSING & REHABILITATION CENTER",154
"HERITAGE HARBOUR HEALTH AND REHABILITATION CENTER",154
"HIGHLAND PINES NURSING HOME",154
"HIGHLANDS NURSING AND REHABILITATION",154
"JAMES RIVER NURSING AND REHABILITATION CENTER",154
"LAKELAND REHAB & HEALTHCARE CENTER",154
"LEBANON VETERANS HOME",154
"LIFE CARE CENTER OF ANDOVER",154
"LIFE CARE CENTER OF AUBURN",154
"LIFE CARE CENTER OF RAYNHAM",154
"LONG BEACH HEALTHCARE CENTER",154
"MISSION POINT NSG PHY REHAB CTR OF MADISON HEIGHTS",154
"MORRELL NURSING CENTER",154
"NEWTOWN REHABILITATION & HEALTH CARE CENTER",154
"NORTH CENTRAL HEALTH CARE",154
"OAKDALE NURSING FACILITY",154
"OTTERBEIN LEBANON RETIREMENT COMMUNITY",154
"PAWTUCKET FALLS HEALTHCARE CENTER",154
"RIVERBEND HEIGHTS HEALTH & REHABILITATION",154
"RIVIERA HEALTHCARE CENTER",154
"SANCTUARY AT FRASER VILLA",154
"SHOLOM HOME WEST",154
"SIGNATURE HEALTHCARE OF GREENEVILLE",154
"SIGNATURE HEALTHCARE OF MARIETTA",154
"SOMERSET SENIOR LIVING AT MOUNT VISTA",154
"SUITES PARKER, THE",154
"SUNNYVIEW NURSING HOME & APARTMENTS",154
"THE BLOSSOMS AT MIDTOWN REHAB & NURSING CENTER",154
"THE CARROLTON OF WILLIAMSTON",154
"THE SPRINGS HEALTH AND REHABILITATION CENTER",154
"THUNDER CARE AND REHABILITATION",154
"TIOGA COMMUNITY CARE CENTER",154
"WHITE OAK MANOR - KINGS MOUNTAIN",154
"WINDSOR GARDENS CONVALESCENT CENTER OF ANAHEIM",154
"AUTUMN LAKE HEALTHCARE AT CHERRY LANE",155
"BEL AIR HEALTH AND REHABILITATION CENTER",155
"BOYCE MANOR NURSING HOME",155
"CLEWISTON NURSING & REHABILITATION",155
"CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR",155
"EMERALD NURSING & REHAB OMAHA",155
"EMERSON HEALTH CARE CENTER",155
"ENNIS CARE CENTER",155
"ESTATES OF HYDE PARK, THE",155
"FRIENDSHIP HAVEN, INC",155
"FUTURE CARE NORTHPOINT",155
"HEALTHCARE CENTER AT WITTENBERG VILLAGE",155
"HEALTHCARE CENTRE OF FRESNO",155
HOOVERWOOD,155
"IMMANUEL SKILLED CARE CENTER",155
"KENSINGTON PLACE NRSG & REHAB",155
"KINDRED TRANSITIONAL CARE AND REHABILITATION-RIDGM",155
"LAFON NURSING FACILITY OF THE HOLY FAMILY",155
"LEAHI HOSPITAL",155
"LIFE CARE CENTER OF ACTON",155
"LIFE CARE CENTER OF ESTERO",155
"MONTEREY CARE CENTER",155
"MOUNT OLIVET CAREVIEW HOME",155
"MOUNTAIN VIEW HEALTH SERVICES",155
"NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER",155
"PANORAMA CITY CONV & REHAB CTR",155
"PEARL OF ROLLING MEADOWS,THE",155
"PILGRIM MANOR SKILLED NURSING AND REHABILITATION",155
"PROMEDICA SKILLED NRSG AND REHAB (MONTGOMERYVILLE)",155
"PROMEDICA SKILLED NSG & REHAB DANTO FAMILY",155
"PROMEDICA SKILLED NURSING AND REHAB (FAIR OAKS)",155
"PROMEDICA SKILLED NURSING AND REHAB (ROSSMOOR)",155
"REGENCY GRANDE NURS & REHAB CE",155
"ROSEWOOD HEALTHCARE AND REHABILITATION CENTER",155
"SAINT ANNE HOME",155
"SAMARITAN BETHANY HOME ON EIGHTH",155
"SILVER HILLS HEALTH CARE CENTER",155
"SOUTHLAND HEALTH AND REHABILITATION",155
"SOUTHMONT OF PRESBYTERIAN SENIORCARE",155
"THE PAVILION AT PIKETON",155
"TROY REHABILITATION AND HEALTHCARE CENTER",155
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",155
"VISTA CENTER AT THE RIDGE",155
"WILLIAM PENN CARE CENTER",155
"WOODBURY HEALTH CARE CENTER",155
"BELMONT MANOR NURSING HOME, IN",156
"CARADAY OF QUITMAN",156
"CASSENA CARE AT STAMFORD",156
"CEDAR CREST NURSING CENTRE INC",156
"CENTER HOME HISPANIC ELDERLY",156
"CHANNEL ISLANDS POST ACUTE",156
"CHRISTOPHER HOUSE OF WORCESTER",156
"DELHAVEN MANOR",156
"EDGEWOOD CENTRE (THE)",156
"ELDERWOOD OF UIHLEIN AT LAKE PLACID",156
"ESTATES OF PERRYVILLE, LLC, THE",156
"FAYETTE HEALTH AND REHABILITATION CENTER",156
"FOREST HILL HEALTH AND REHABILITATION CENTER",156
"HELIA SOUTHBELT HEALTHCARE",156
"HOMESTEAD HEALTHCARE CENTER",156
"JOSEPH EDDIE BALLARD WESTERN KENTUCKY VETERANS CEN",156
"LEGACY NURSING AND REHABILITATION OF TALLULAH",156
"LIFE CARE CENTER OF MEDINA",156
"LINCOLN HILLS OF NEW ALBANY",156
"MABEE HEALTH CARE CENTER",156
"MAGNOLIA CREEK NURSING AND REHABILITATION",156
"MAYFIELD CARE AND REHAB",156
"MEADOWBROOK CARE CENTER",156
"MITCHELL COUNTY NURSING HOMES",156
"NORTHWEST LOUISIANA VETERANS HOME",156
"OAK BROOK CARE",156
"PROMEDICA SKILLED NURSING & REHAB - WEST DEPTFORD",156
"REGENT CARE CENTER OF THE WOODLANDS LIMITED PARTNE",156
"SEVEN HILLS HEALTH & REHABILITATION CENTER",156
"SIGNATURE HEALTHCARE AT HILLCREST",156
"SOUTH PASADENA CARE CENTER",156
"ST. JOHN OF GOD RETIREMENT",156
"SULLIVAN COUNTY HEALTH CARE",156
"THE COTTAGES AT GARDEN GROVE, A SKILLED NRSG COMM",156
"WABASH CHRISTIAN RETIREMENT",156
"ASCENSION RESURRECTION LIFE",157
"BRIAN CENTER HEALTH & REHAB/YANCEYVILLE",157
"CHAPEL RIDGE HEALTH AND REHAB",157
"CLAIBORNE AND HUGHES HLTH CNTR",157
"CRAWFORD COUNTY CARE CENTER",157
"EMBASSY OF HEARTHSIDE",157
"GREEN MEADOW HAVEN",157
"LIFE CARE CENTER OF FEDERAL WAY",157
"PONCA CITY NURSING & REHABILITATION CENTER",157
"PRUITTHEALTH - BROOKHAVEN",157
"RALEIGH REHABILITATION CENTER",157
"RENSSELAER CARE CENTER",157
"RETIREMENT AND NURSING CENTER AUSTIN",157
"RICHLAND NURSING & REHAB",157
"RUSTON NURSING AND REHABILITATION CENTER,LLC",157
"SIGNATURE HEALTHCARE OF ROCKWOOD REHAB & WELLNESS",157
"SUNNY HILL NURSING HOME OF WILL COUNTY",157
"THE FRIENDLY HOME",157
"WEST BEND NURSING AND REHABILITATION",157
"WOODLAND CARE CENTER",157
"WYNDRIDGE HEALTH AND REHAB CTR",157
"ARCOLA HEALTH AND REHABILITATION CENTER",158
"BARDMOOR OAKS HEALTHCARE AND REHABILITATION CENTE",158
"CASA DE ORO CENTER",158
"CITADEL OF NORTHBROOK, THE",158
"CRYSTAL CREEK HEALTH AND REHABILITATION CENTER",158
"GENERATIONS OF VERNON, LLC",158
"GROVE OF FOX VALLEY,THE",158
"JERSEY SHORE CENTER",158
"LAKEVIEW VILLAGE",158
"LEMON GROVE CARE AND REHABILITATION CENTER",158
"LIFE CARE CENTER OF ELIZABETHTON",158
"MAGNOLIA CREEK SKILLED NURSING AND THERAPY",158
MALUHIA,158
"MEDILODGE OF GRAND BLANC",158
"MEDILODGE OF ST CLAIR",158
"MOUNTAIN VIEW CENTER GENESIS HEALTHCARE",158
"OMNI MANOR NURSING HOME",158
"PROMEDICA SKILLED NURSING & REHAB ( POTOMAC)",158
"ST DOMINIC VILLAGE NURSING HOME",158
"SYMPHONY EVANSTON HEALTHCARE",158
"THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR",158
"THE OAKS HEALTHCARE CENTER",158
"WESTMINSTER-CANTERBURY OF RICHMOND",158
"WI VETERANS HOME-BOLAND HALL",158
"ALBERTVILLE NURSING HOME",159
"ALLISON POINTE HEALTHCARE CENTER",159
"BETHANY LIFE",159
"BRENTWOOD REHABILITATION AND HEALTHCARE CTR (THE)",159
"BRIER OAK ON SUNSET",159
"CARROLLTON NURSING & REHAB CTR",159
"CHEYENNE MOUNTAIN CENTER",159
"CONSULATE HEALTH CARE OF VERO BEACH",159
"EDGECOMBE HEALTH AND REHAB CENTER",159
"FOREST HILLS  CARE AND REHABILITATION CENTER",159
"HERITAGE OAKS NURSING AND REHABILITATION CENTER",159
"KITH HAVEN",159
"LAURELHURST VILLAGE",159
"LEXINGTON HEALTH AND REHABILITATION CENTER",159
"LIMECREST SUBACUTE AND REHABILITATION CENTER",159
"MANOR AT PENN VILLAGE, THE",159
"MAPLE GLEN CENTER",159
"PROMEDICA SKILLED NRSG AND REHAB (LEBANON)",159
"REST HAVEN-YORK",159
"RIVERSIDE HEALTH CARE CENTER",159
"ROYAL PARK REHAB & HEALTH CTR OF MATTHEWS",159
